kaggle_id,totalCorner_id
nXxNC9l7/,88841
IikAFB4l/,88845
23Jk8hwp/,88979
GrsYIPYd/,881035
x25qUAJs/,88998
zkXbQwQ2/,881111
QyHaQSI6/,881003
2DKEV2I2/,881054
KpirFCL9/,881095
phlfCA5S/,881097
z5yiCEHs/,881065
4pT78WG6/,881228
x4YtVYEs/,881074
f56hmYzQ/,881080
p2oW86nt/,881463
Aimbfkrg/,881220
W0lfeVSn/,881222
ImgsNVVa/,881508
QN9T9Ust/,881693
0t2t7SRb/,881697
bowDh6Jd/,881640
r5HwiApt/,881713
jHuDzk0a/,881715
E97s3RqC/,881676
CIEtYoqn/,881690
jy8bnnaB/,881727
vH6vrO82/,881671
vTrVDzuq/,881874
UggeKx2F/,881876
MsD2mm12/,881883
zoH6n7G8/,881887
jTPussSG/,881866
I75rsrO8/,881857
OG4WH4cE/,882025
r9eYGt2E/,882008
zLoBq50R/,882381
fN77etsA/,882371
2qNiNaZg/,882219
bahc2j64/,882190
8YVNBNqK/,882228
I7Hg617s/,882232
KCkTktN0/,882540
ra4Ijier/,882208
xIRkeXnR/,882213
2sffMyvf/,882598
8dA63ai0/,882674
4CqNxuZt/,882661
E3xU8jHQ/,882643
Igzxjk9c/,882664
4AYqlTwA/,882666
xbckSoHj/,882669
SvtAaljN/,882607
0OCCIVd4/,882689
E7A0LXCo/,882686
nL88JBsb/,882687
0xShn78M/,883086
WhGBUaWD/,883036
G6sHSp8a/,883065
hz7XvP0d/,883089
A9v9U6wm/,883072
QeTP6dv7/,883038
ngjzaphS/,883094
QHYy7spk/,883095
SMvIXPrN/,883325
ClJhVvQk/,883058
rm2HHkCA/,883107
zosdA74p/,883109
MRlFG9JU/,883611
IBVL14c3/,883578
zmQQ0OC9/,883579
2ZuCyp3q/,883629
0bLX3WZO/,883615
CvWgPjDr/,883677
2Rs3JBZB/,883686
YaVKygkt/,883869
8INXYjZb/,883873
ShLrEm5G/,883829
tEzbOASl/,883867
jFINkzOg/,883925
pr52Ynh5/,883906
fmLEnTQc/,884073
0jBZs5uT/,884077
QkrYfgtl/,884034
l0yRlfw0/,884100
G29Np7eA/,884078
WrHP9eFP/,884104
zJOjCRZS/,884120
8dY0bQP9/,884296
8YaO5Af6/,884253
Kj0N65cj/,884256
W67u0u3b/,884366
MuSNjZN0/,884522
C0cJBx2A/,884538
Ic0Y1HGA/,884607
bNSGB0rP/,884572
fk2z38vP/,884585
lI8H5aHo/,884609
MVG1OFoG/,884727
lzSqnHy2/,8821926
ju6SA0E2/,8821974
lQOV9KT8/,8821975
vFHr7IDR/,8821976
tO3A2xMr/,8821978
zo3E1dyk/,8821980
AqTumcMe/,8821925
rmOZ8vqF/,8822152
WCdNaz61/,8822832
S6jJlEC9/,8822860
CbU1tjKk/,8822877
ENlRnhsM/,8822878
WvcAjzrc/,8822879
hEmVoCdS/,8822881
CSyMKyrR/,8822921
voAOSWkj/,8823099
bPXHLHSK/,8823110
U7OmGejr/,8823111
QZHdEZKf/,8823112
A3eRbfL7/,8823113
pr1Ekfc3/,8823159
ll7I0Gje/,8823488
Iy9SRj5d/,8823822
bmG4CDk7/,8824530
QN3fuaoF/,8824531
hSS30BBL/,8824553
