kaggle_id,league,home_team,away_team
QJk83GIk/,Spain La Liga,Granada,Real Valladolid
x2Zi4e7i/,Italy Serie A,Roma,Genoa
zm4oeMtj/,France Ligue 1,Lille,Stade de Reims
rix5xBVn/,France Ligue 1,St Etienne,Valenciennes
zalE1E87/,Italy Serie A,Chievo,Lazio
rqCo2oaI/,Italy Serie A,Sampdoria,Cagliari
277gVqT4/,Italy Serie A,Hellas Verona,Torino
I9nMvec2/,France Ligue 1,Monaco,Stade de Reims
pjPqt1sN/,Italy Serie A,Hellas Verona,Bologna
tMjPjM7f/,France Ligue 1,Guingamp,Evian Thonon Gaillard
zgsizWA1/,Italy Serie A,Juventus,Fiorentina
nXdesLQP/,Germany Bundesliga I,Borussia Dortmund,Borussia M'gladbach
vuHU9XcC/,Spain La Liga,Barcelona,Osasuna
v3yYjVgi/,Germany Bundesliga I,Nurnberg,Eintracht Frankfurt
nJ5T2sJu/,France Ligue 1,Stade de Reims,Evian Thonon Gaillard
vBsb4ffp/,France Ligue 1,Monaco,Bordeaux
x8206X3l/,Spain La Liga,Real Sociedad,Villarreal
tAOylw7k/,France Ligue 1,Stade de Reims,PSG
ll7I0Gje/,France Ligue 1,Bordeaux,Monaco
vsEXFnda/,France Ligue 1,Nice,Bordeaux
by22wwGR/,Germany Bundesliga I,Borussia M'gladbach,VfB Stuttgart
xb7TABhc/,Germany Bundesliga I,Hamburg,SC Paderborn
hKntC4eO/,France Ligue 1,Caen,Rennes
pzDLOeMl/,Italy Serie A,AC Milan,Lazio
zD3l6m7S/,Germany Bundesliga I,TSG Hoffenheim,Wolfsburg
pOrucubg/,Spain La Liga,Real Madrid,Atletico Madrid
pOrucubg/,Spain La Liga,Real Madrid,Atletico Madrid
pOrucubg/,Spain La Liga,Real Madrid,Atletico Madrid
pEBJPNPN/,France Ligue 1,Bastia,Lens
pEBJPNPN/,France Ligue 1,Bastia,Lens
pEBJPNPN/,France Ligue 1,Bastia,Lens
pEBJPNPN/,France Ligue 1,Bastia,Lens
nsYlu3PA/,France Ligue 1,Stade de Reims,Toulouse
r9ccoAZI/,Italy Serie A,Parma,AC Milan
ns4lmW46/,Italy Serie A,Lazio,Cesena
ns4lmW46/,Italy Serie A,Lazio,Cesena
0Q1xjYKm/,Italy Serie A,Hellas Verona,Palermo
p6H5COT1/,Germany Bundesliga I,SC Paderborn,Hannover 96
pnas2q4N/,England Premier League,West Ham,Liverpool
px0FeO9i/,France Ligue 1,Lorient,Stade de Reims
vXl44XZt/,Italy Serie A,Atalanta,Fiorentina
vXl44XZt/,Italy Serie A,Atalanta,Fiorentina
n3uPa9lC/,Italy Serie A,Palermo,Inter Milan
YZcTXuZs/,France Ligue 1,Stade de Reims,Marseille
nBely862/,Germany Bundesliga I,Bayern Munich,SC Paderborn
zuxzeK2p/,Italy Serie A,Hellas Verona,Genoa
zguCTG4g/,Germany Bundesliga I,VfB Stuttgart,Hannover 96
zguCTG4g/,Germany Bundesliga I,VfB Stuttgart,Hannover 96
l8FtEa9M/,Italy Serie A,Atalanta,Juventus
t6llTHmD/,France Ligue 1,Lille,Bastia
vFembxmm/,France Ligue 1,Stade de Reims,Bordeaux
vFembxmm/,France Ligue 1,Stade de Reims,Bordeaux
tCcPOhJO/,Germany Bundesliga I,Borussia Dortmund,Hamburg
zTeLfg3h/,Germany Bundesliga I,VfB Stuttgart,Bayer Leverkusen
McDw9g15/,France Ligue 1,Nantes,Stade de Reims
nwExWXU7/,Italy Serie A,Hellas Verona,AC Milan
0zgXiimB/,Germany Bundesliga I,SC Paderborn,Eintracht Frankfurt
YNBBP9MP/,France Ligue 1,Lyon,Montpellier
d2ntjVHN/,Germany Bundesliga I,Bayer Leverkusen,Schalke
0405NhGb/,France Ligue 1,Stade de Reims,Montpellier
pAs3r2KU/,Italy Serie A,AC Milan,Fiorentina
886XuUFT/,Italy Serie A,Hellas Verona,Lazio
dl5lNqMF/,France Ligue 1,Monaco,Stade de Reims
0A9tJToA/,Germany Bundesliga I,SC Paderborn,Hertha Berlin
Qqwbdk0A/,Italy Serie A,Cesena,Hellas Verona
xf7DLM78/,Germany Bundesliga I,Werder Bremen,VfB Stuttgart
xf7DLM78/,Germany Bundesliga I,Werder Bremen,VfB Stuttgart
xW46TKrk/,France Ligue 1,PSG,Marseille
UcNLlbb1/,Italy Serie A,Inter Milan,Hellas Verona
xEVfYaiE/,Germany Bundesliga I,Cologne,Hertha Berlin
dn0ttbSf/,France Ligue 1,Nice,Stade de Reims
neVMHdSm/,Italy Serie A,Udinese,Chievo
bi2jNZrD/,Germany Bundesliga I,Werder Bremen,SC Paderborn
YBXYEfC6/,Italy Serie A,Chievo,Lazio
fsWAewSs/,France Ligue 1,Stade de Reims,Bastia
r1Xocj3n/,France Ligue 1,Lyon,Stade de Reims
v1pvU5HP/,Germany Bundesliga I,Bayern Munich,Bayer Leverkusen
hEoZiGr4/,France Ligue 1,Stade de Reims,Guingamp
nVs5Yu9d/,Italy Serie A,Hellas Verona,Sampdoria
CU81XvOH/,Germany Bundesliga I,Werder Bremen,Hannover 96
00QH2XdM/,France Ligue 1,Stade de Reims,Evian Thonon Gaillard
lflZ8Mp9/,Italy Serie A,AC Milan,Napoli
WEDtx39n/,Germany Bundesliga I,Wolfsburg,SC Paderborn
hnDPyfF3/,Germany Bundesliga I,TSG Hoffenheim,Bayer Leverkusen
YJmbjgUd/,Germany Bundesliga I,Wolfsburg,Cologne
hbRRAUlq/,France Ligue 1,Toulouse,Guingamp
lOFUcdx8/,Italy Serie A,Inter Milan,Lazio
ruvgbQml/,Italy Serie A,Cesena,Napoli
4EWAALf0/,France Ligue 1,Stade de Reims,St Etienne
fHbseFwO/,Italy Serie A,Hellas Verona,Parma
xSUI8aPC/,France Ligue 1,Caen,Stade de Reims
Wrai3CVp/,Italy Serie A,Juventus,Hellas Verona
lbn2LBiT/,Italy Serie A,Juventus,Chievo
jiWSZyOB/,France Ligue 1,St Etienne,PSG
z5LkalDR/,Germany Bundesliga I,VfB Stuttgart,Borussia M'gladbach
z5LkalDR/,Germany Bundesliga I,VfB Stuttgart,Borussia M'gladbach
xM99nF7H/,France Ligue 1,Toulouse,Stade de Reims
vqF4T8qj/,Italy Serie A,Palermo,Hellas Verona
Wlnf8Rkr/,Germany Bundesliga I,SC Paderborn,Hamburg
vJsZ8btg/,Germany Bundesliga I,Cologne,SC Paderborn
vJsZ8btg/,Germany Bundesliga I,Cologne,SC Paderborn
QHSjSJ4D/,Italy Serie A,Juventus,AC Milan
IuVr1EMA/,France Ligue 1,Stade de Reims,Lorient
zmAsksCQ/,Italy Serie A,Sampdoria,Sassuolo
CxXF37r9/,France Ligue 1,Marseille,Stade de Reims
dUlTu4j2/,France Ligue 1,Lille,Nice
U9VG3tRJ/,Italy Serie A,Cesena,Juventus
4QSb3fAU/,Germany Bundesliga I,Hannover 96,SC Paderborn
vgbrzyuh/,Germany Bundesliga I,SC Paderborn,Bayern Munich
vgbrzyuh/,Germany Bundesliga I,SC Paderborn,Bayern Munich
Moiff35e/,France Ligue 1,Bastia,Lille
WGYpHQC8/,France Ligue 1,Guingamp,Montpellier
tlyRBwJt/,Italy Serie A,Hellas Verona,Roma
tlyRBwJt/,Italy Serie A,Hellas Verona,Roma
nHCD48p0/,France Ligue 1,Toulouse,St Etienne
vJy0OG2n/,Italy Serie A,Torino,Napoli
vJy0OG2n/,Italy Serie A,Torino,Napoli
