id_odsp,date,season,league,country,home_team,away_team,odd_h,odd_d,odd_a,score_pre_80,score_ft,game_state_80,goal_diff_80,home_shots_pre80,away_shots_pre80,home_shots_on_target_pre80,away_shots_on_target_pre80,home_shots_off_target_pre80,away_shots_off_target_pre80,home_yellow_cards_pre80,away_yellow_cards_pre80,home_sending_off_pre80,away_sending_off_pre80,home_fouls_pre80,away_fouls_pre80,home_corners_pre80,away_corners_pre80,total_shots_pre_80,total_fouls_pre_80,total_yellow_cards_pre_80,total_sending_off_pre_80,total_corners_pre_80,total_corners_70_75,total_shots_70_75,total_fouls_70_75,total_corners_75_80,total_shots_75_80,total_fouls_75_80,home_shots_ft,away_shots_ft,home_shots_on_target_ft,away_shots_on_target_ft,home_shots_off_target_ft,away_shots_off_target_ft,home_yellow_cards_ft,away_yellow_cards_ft,home_sending_off_ft,away_sending_off_ft,home_fouls_ft,away_fouls_ft,home_corners_ft,away_corners_ft,total_corners_ft,home_shots_70_75,away_shots_70_75,home_shots_on_target_70_75,away_shots_on_target_70_75,home_shots_off_target_70_75,away_shots_off_target_70_75,home_yellow_cards_70_75,away_yellow_cards_70_75,home_sending_off_70_75,away_sending_off_70_75,home_fouls_70_75,away_fouls_70_75,home_corners_70_75,away_corners_70_75,home_shots_75_80,away_shots_75_80,home_shots_on_target_75_80,away_shots_on_target_75_80,home_shots_off_target_75_80,away_shots_off_target_75_80,home_yellow_cards_75_80,away_yellow_cards_75_80,home_sending_off_75_80,away_sending_off_75_80,home_fouls_75_80,away_fouls_75_80,home_corners_75_80,away_corners_75_80,home_corner_diff,away_corner_diff,league_england,league_spain,league_germany,league_italy,league_france,league_avg_corners,league_avg_home_corners,league_avg_away_corners,league_avg_post80_corners,league_avg_post80_home_corners,league_avg_post80_away_corners,corner_diff,is_home_trailing,trailing_team,trailing_team_corners,home_games,home_corners_for_avg,home_corners_against_avg,home_post80_corners_for_avg,home_post80_corners_against_avg,away_games,away_corners_for_avg,away_corners_against_avg,away_post80_corners_for_avg,away_post80_corners_against_avg
z3vaBgvP/,2016-10-29,2017,D1,germany,FC Augsburg,Bayern Munich,18.0,7.35,1.23,1-3,1-3,a,-2,6,13,3,7,3,6,2,0,0,0,11,4,2,10,19,15,2,0,12,1,3,0,1,0,1,7,16,3,8,4,8,2,0,0,0,14,5,4,10,14,1,2,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,1,0,0,9.501865671641792,5.307835820895522,4.1940298507462686,1.3022388059701493,0.7176616915422885,0.5845771144278606,2,,,,4.0,3.6615671641791048,4.638805970149254,0.1435323383084577,0.7169154228855721,3.0,5.298507462686567,3.0769589552238807,0.39614427860696516,0.4294154228855721
zVABSMiB/,2016-10-29,2017,SP1,spain,Sporting Gijon,Sevilla,4.8,3.94,1.91,1-1,1-1,d,0,8,19,4,6,4,13,5,1,0,0,13,8,2,4,27,21,6,0,6,0,2,1,0,0,0,9,20,5,6,4,14,6,2,0,0,14,9,3,4,7,0,2,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,10.495781637717121,5.981637717121588,4.514143920595534,1.490818858560794,0.8307692307692308,0.6600496277915633,1,,,,4.0,3.7963275434243173,4.302828784119106,0.7661538461538462,0.5320099255583127,4.0,2.9028287841191065,4.796327543424317,1.1320099255583127,0.16615384615384615
6okKC3za/,2016-10-30,2017,D1,germany,TSG Hoffenheim,Hertha Berlin,2.11,3.7,4.0,1-0,1-0,h,1,21,5,5,2,16,3,0,3,0,0,6,15,6,3,26,21,3,0,9,1,1,2,1,3,0,24,5,6,2,18,3,0,4,0,0,10,19,7,3,10,1,0,0,0,1,0,0,0,0,0,0,2,1,0,3,0,1,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,9.501865671641792,5.307835820895522,4.1940298507462686,1.3022388059701493,0.7176616915422885,0.5845771144278606,1,0.0,away,0.0,4.0,4.061567164179104,7.038805970149253,0.5435323383084577,0.916915422885572,4.0,1.6388059701492537,5.261567164179104,0.11691542288557213,0.5435323383084577
6yO0SBfF/,2016-10-30,2017,E0,england,Southampton,Chelsea,3.25,3.5,2.46,0-2,0-2,a,-2,10,11,1,6,9,5,0,0,0,0,9,15,7,3,21,24,0,0,10,0,1,1,1,0,1,10,13,1,7,9,6,0,0,0,0,13,16,7,3,10,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,10.576597382602001,5.8745188606620475,4.702078521939954,1.5858352578906851,0.8652809853733642,0.7205542725173211,0,,,,4.0,6.374903772132409,3.3404157043879907,1.3730561970746726,0.9441108545034641,4.0,5.74041570438799,4.174903772132409,0.5441108545034642,0.3730561970746728
8IJfW4hn/,2016-10-30,2017,SP1,spain,Athletic Bilbao,Osasuna,1.46,4.85,9.4,1-1,1-1,d,0,15,6,4,3,11,3,2,1,0,0,5,9,9,2,21,14,3,0,11,0,2,2,2,4,0,18,7,4,3,14,4,2,1,0,0,8,10,9,2,11,2,0,0,0,2,0,1,0,0,0,1,1,0,0,4,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,10.495781637717121,5.981637717121588,4.514143920595534,1.490818858560794,0.8307692307692308,0.6600496277915633,0,,,,4.0,5.596327543424318,3.7028287841191068,0.36615384615384616,0.7320099255583127,4.0,3.9028287841191065,5.396327543424317,0.5320099255583127,1.3661538461538463
8foCpEN9/,2016-10-30,2017,I1,italy,Atalanta,Genoa,2.38,3.38,3.64,2-0,3-0,h,2,12,9,8,2,4,7,1,2,0,0,11,10,3,3,21,21,3,0,6,0,0,0,0,1,2,15,10,9,2,6,8,1,2,0,0,11,13,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,10.28757225433526,5.747109826589595,4.540462427745664,1.5173410404624277,0.8294797687861272,0.6878612716763006,0,,,,5.0,5.291184971098265,4.590077071290945,0.47157996146435455,1.2813102119460502,4.0,5.508092485549133,4.3494219653179185,1.1375722543352602,0.36589595375722545
S41oaDx3/,2016-10-30,2017,I1,italy,Crotone,Chievo Verona,3.7,3.3,2.46,1-0,2-0,h,1,8,14,6,3,2,11,1,2,0,0,17,16,4,5,22,33,3,0,9,0,0,1,1,1,0,9,16,7,3,2,13,1,2,0,0,19,20,4,5,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,10.28757225433526,5.747109826589595,4.540462427745664,1.5173410404624277,0.8294797687861272,0.6878612716763006,0,0.0,away,0.0,4.0,4.549421965317919,5.308092485549134,1.1658959537572255,0.5375722543352601,5.0,4.256743737957611,5.957851637764932,0.9479768786127168,0.8049132947976879
URKjXpwt/,2016-10-30,2017,SP1,spain,Real Betis,Espanyol,2.28,3.42,3.84,0-1,0-1,a,-1,10,10,2,5,8,5,3,3,0,0,12,15,4,3,20,27,6,0,7,1,1,1,0,2,2,13,10,5,5,8,5,3,3,0,0,15,15,8,3,11,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,1,0,0,1,1,0,0,4,0,0,1,0,0,0,10.495781637717121,5.981637717121588,4.514143920595534,1.490818858560794,0.8307692307692308,0.6600496277915633,4,1.0,home,4.0,4.0,6.596327543424318,3.9028287841191065,0.7661538461538462,0.13200992555831265,4.0,2.5028287841191066,7.996327543424317,0.33200992555831266,0.7661538461538462
UilpC17U/,2016-10-30,2017,SP1,spain,Eibar,Villarreal,3.35,3.25,2.68,1-1,2-1,d,0,12,5,8,1,4,4,2,3,0,0,14,12,3,5,17,26,5,0,8,0,0,0,0,0,1,13,6,9,1,4,5,2,3,0,0,15,13,3,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,1,0,0,0,10.495781637717121,5.981637717121588,4.514143920595534,1.490818858560794,0.8307692307692308,0.6600496277915633,2,,,,4.0,5.196327543424317,3.9028287841191065,1.3661538461538463,0.5320099255583127,4.0,3.5028287841191066,8.396327543424317,0.33200992555831266,1.1661538461538463
d6tA5lm2/,2016-10-30,2017,E0,england,Everton,West Ham,1.91,3.84,4.6,2-0,2-0,h,2,14,13,4,3,10,10,2,2,0,0,13,6,7,7,27,19,4,0,14,1,0,1,0,0,1,17,13,6,3,11,10,2,3,0,0,15,9,8,8,16,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,10.576597382602001,5.8745188606620475,4.702078521939954,1.5858352578906851,0.8652809853733642,0.7205542725173211,2,,,,4.0,6.97490377213241,4.94041570438799,0.3730561970746728,0.9441108545034641,4.0,4.340415704387991,5.374903772132409,0.34411085450346424,0.9730561970746727
