id_odsp,date,season,league,country,home_team,away_team,odd_h,odd_d,odd_a,score_pre_80,score_ft,game_state_80,goal_diff_80,home_shots_pre80,away_shots_pre80,home_shots_on_target_pre80,away_shots_on_target_pre80,home_shots_off_target_pre80,away_shots_off_target_pre80,home_yellow_cards_pre80,away_yellow_cards_pre80,home_sending_off_pre80,away_sending_off_pre80,home_fouls_pre80,away_fouls_pre80,home_corners_pre80,away_corners_pre80,total_shots_pre_80,total_fouls_pre_80,total_yellow_cards_pre_80,total_sending_off_pre_80,total_corners_pre_80,total_corners_70_75,total_shots_70_75,total_fouls_70_75,total_corners_75_80,total_shots_75_80,total_fouls_75_80,home_shots_ft,away_shots_ft,home_shots_on_target_ft,away_shots_on_target_ft,home_shots_off_target_ft,away_shots_off_target_ft,home_yellow_cards_ft,away_yellow_cards_ft,home_sending_off_ft,away_sending_off_ft,home_fouls_ft,away_fouls_ft,home_corners_ft,away_corners_ft,total_corners_ft,home_shots_70_75,away_shots_70_75,home_shots_on_target_70_75,away_shots_on_target_70_75,home_shots_off_target_70_75,away_shots_off_target_70_75,home_yellow_cards_70_75,away_yellow_cards_70_75,home_sending_off_70_75,away_sending_off_70_75,home_fouls_70_75,away_fouls_70_75,home_corners_70_75,away_corners_70_75,home_shots_75_80,away_shots_75_80,home_shots_on_target_75_80,away_shots_on_target_75_80,home_shots_off_target_75_80,away_shots_off_target_75_80,home_yellow_cards_75_80,away_yellow_cards_75_80,home_sending_off_75_80,away_sending_off_75_80,home_fouls_75_80,away_fouls_75_80,home_corners_75_80,away_corners_75_80,home_corner_diff,away_corner_diff,league_england,league_spain,league_germany,league_italy,league_france,league_avg_corners,league_avg_home_corners,league_avg_away_corners,league_avg_post80_corners,league_avg_post80_home_corners,league_avg_post80_away_corners,corner_diff,is_home_trailing,trailing_team,trailing_team_corners,home_games,home_corners_for_avg,home_corners_against_avg,home_post80_corners_for_avg,home_post80_corners_against_avg,away_games,away_corners_for_avg,away_corners_against_avg,away_post80_corners_for_avg,away_post80_corners_against_avg,game_state_80_h,game_state_80_a,game_state_80_d,abs_goal_diff_80,close_game_80,goal_diff_squared_80,odds_ratio,shot_to_corner_ratio_pre_80,team_aggression_score_pre_80,home_urgency_to_attack,away_urgency_to_attack,home_momentum_to_attack,away_momentum_to_attack,attack_intensity,defensive_pressure,trailing_team_probability,target
z3vaBgvP/,2016-10-29,2017,D1,germany,FC Augsburg,Bayern Munich,18.0,7.35,1.23,1-3,1-3,a,-2,6,13,3,7,3,6,2,0,0,0,11,4,2,10,19,15,2,0,12,1,3,0,1,0,1,7,16,3,8,4,8,2,0,0,0,14,5,4,10,14,1,2,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,1,0,0,9.502,5.308,4.194,1.302,0.718,0.585,2,,,,4.0,3.662,4.639,0.144,0.717,3.0,5.299,3.077,0.396,0.429,0,1,0,2,0,4,14.634,1.583,0.895,0.028,0.0,-0.028,-0.0,0,1,81.301,1
zVABSMiB/,2016-10-29,2017,SP1,spain,Sporting Gijon,Sevilla,4.8,3.94,1.91,1-1,1-1,d,0,8,19,4,6,4,13,5,1,0,0,13,8,2,4,27,21,6,0,6,0,2,1,0,0,0,9,20,5,6,4,14,6,2,0,0,14,9,3,4,7,0,2,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,10.496,5.982,4.514,1.491,0.831,0.66,1,,,,4.0,3.796,4.303,0.766,0.532,4.0,2.903,4.796,1.132,0.166,0,0,1,0,1,0,2.513,4.5,1.0,0.285,0.715,0.0,-1.43,0,-1,52.356,1
6okKC3za/,2016-10-30,2017,D1,germany,TSG Hoffenheim,Hertha Berlin,2.11,3.7,4.0,1-0,1-0,h,1,21,5,5,2,16,3,0,3,0,0,6,15,6,3,26,21,3,0,9,1,1,2,1,3,0,24,5,6,2,18,3,0,4,0,0,10,19,7,3,10,1,0,0,0,1,0,0,0,0,0,0,2,1,0,3,0,1,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,9.502,5.308,4.194,1.302,0.718,0.585,1,0.0,away,0.0,4.0,4.062,7.039,0.544,0.917,4.0,1.639,5.262,0.117,0.544,1,0,0,1,1,1,0.528,2.889,0.923,0.0,0.25,0.0,0.0,4,-2,25.0,1
6yO0SBfF/,2016-10-30,2017,E0,england,Southampton,Chelsea,3.25,3.5,2.46,0-2,0-2,a,-2,10,11,1,6,9,5,0,0,0,0,9,15,7,3,21,24,0,0,10,0,1,1,1,0,1,10,13,1,7,9,6,0,0,0,0,13,16,7,3,10,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,10.577,5.875,4.702,1.586,0.865,0.721,0,,,,4.0,6.375,3.34,1.373,0.944,4.0,5.74,4.175,0.544,0.373,0,1,0,2,0,4,1.321,2.1,1.143,0.154,0.0,0.154,-0.0,0,0,40.65,0
8IJfW4hn/,2016-10-30,2017,SP1,spain,Athletic Bilbao,Osasuna,1.46,4.85,9.4,1-1,1-1,d,0,15,6,4,3,11,3,2,1,0,0,5,9,9,2,21,14,3,0,11,0,2,2,2,4,0,18,7,4,3,14,4,2,1,0,0,8,10,9,2,11,2,0,0,0,2,0,1,0,0,0,1,1,0,0,4,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,10.496,5.982,4.514,1.491,0.831,0.66,0,,,,4.0,5.596,3.703,0.366,0.732,4.0,3.903,5.396,0.532,1.366,0,0,1,0,1,0,0.155,1.909,0.81,0.866,0.134,3.464,0.0,0,-2,10.638,0
8foCpEN9/,2016-10-30,2017,I1,italy,Atalanta,Genoa,2.38,3.38,3.64,2-0,3-0,h,2,12,9,8,2,4,7,1,2,0,0,11,10,3,3,21,21,3,0,6,0,0,0,0,1,2,15,10,9,2,6,8,1,2,0,0,11,13,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,10.288,5.747,4.54,1.517,0.829,0.688,0,,,,5.0,5.291,4.59,0.472,1.281,4.0,5.508,4.349,1.138,0.366,1,0,0,2,0,4,0.654,3.5,1.143,0.0,0.137,0.0,0.137,0,2,27.473,0
S41oaDx3/,2016-10-30,2017,I1,italy,Crotone,Chievo Verona,3.7,3.3,2.46,1-0,2-0,h,1,8,14,6,3,2,11,1,2,0,0,17,16,4,5,22,33,3,0,9,0,0,1,1,1,0,9,16,7,3,2,13,1,2,0,0,19,20,4,5,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,10.288,5.747,4.54,1.517,0.829,0.688,0,0.0,away,0.0,4.0,4.549,5.308,1.166,0.538,5.0,4.257,5.958,0.948,0.805,1,0,0,1,1,1,1.504,2.444,1.636,0.0,0.407,0.0,0.0,2,-1,40.65,0
URKjXpwt/,2016-10-30,2017,SP1,spain,Real Betis,Espanyol,2.28,3.42,3.84,0-1,0-1,a,-1,10,10,2,5,8,5,3,3,0,0,12,15,4,3,20,27,6,0,7,1,1,1,0,2,2,13,10,5,5,8,5,3,3,0,0,15,15,8,3,11,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,1,0,0,1,1,0,0,4,0,0,1,0,0,0,10.496,5.982,4.514,1.491,0.831,0.66,4,1.0,home,4.0,4.0,6.596,3.903,0.766,0.132,4.0,2.503,7.996,0.332,0.766,0,1,0,1,1,1,0.594,2.857,1.65,0.439,0.0,-0.439,0.0,2,1,43.86,1
UilpC17U/,2016-10-30,2017,SP1,spain,Eibar,Villarreal,3.35,3.25,2.68,1-1,2-1,d,0,12,5,8,1,4,4,2,3,0,0,14,12,3,5,17,26,5,0,8,0,0,0,0,0,1,13,6,9,1,4,5,2,3,0,0,15,13,3,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,1,0,0,0,10.496,5.982,4.514,1.491,0.831,0.66,2,,,,4.0,5.196,3.903,1.366,0.532,4.0,3.503,8.396,0.332,1.166,0,0,1,0,1,0,1.25,2.125,1.824,0.444,0.556,0.0,0.0,0,1,37.313,1
d6tA5lm2/,2016-10-30,2017,E0,england,Everton,West Ham,1.91,3.84,4.6,2-0,2-0,h,2,14,13,4,3,10,10,2,2,0,0,13,6,7,7,27,19,4,0,14,1,0,1,0,0,1,17,13,6,3,11,10,2,3,0,0,15,9,8,8,16,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,10.577,5.875,4.702,1.586,0.865,0.721,2,,,,4.0,6.975,4.94,0.373,0.944,4.0,4.34,5.375,0.344,0.973,1,0,0,2,0,4,0.415,1.929,0.852,0.0,0.109,0.0,-0.109,0,0,21.739,1
