id_odsp,date,season,league,country,home_team,away_team,odd_h,odd_d,odd_a,score_pre_80,score_ft,game_state_80,goal_diff_80,total_shots_pre_80,total_fouls_pre_80,total_yellow_cards_pre_80,total_sending_off_pre_80,total_corners_pre_80,total_corners_70_75,total_shots_70_75,total_fouls_70_75,total_corners_75_80,total_shots_75_80,total_fouls_75_80,total_corners_ft,league_england,league_spain,league_germany,league_italy,league_france,league_avg_corners,league_avg_home_corners,league_avg_away_corners,league_avg_post80_corners,league_avg_post80_home_corners,league_avg_post80_away_corners,corner_diff,is_home_trailing,trailing_team,trailing_team_corners,trailing_team_corner_diff,leading_team_corner_diff,trailing_team_corners_70_75,leading_team_corners_70_75,trailing_team_corners_75_80,leading_team_corners_75_80,leading_team_corners_against_avg,trailing_team_corners_for_avg,trailing_team_corners_ft,leading_team_corners_ft,trailing_team_corners_pre80,leading_team_corners_pre80,trailing_team_fouls_70_75,leading_team_fouls_70_75,trailing_team_fouls_75_80,leading_team_fouls_75_80,trailing_team_fouls_ft,leading_team_fouls_ft,trailing_team_fouls_pre80,leading_team_fouls_pre80,leading_team_post80_corners_against_avg,trailing_team_post80_corners_for_avg,trailing_team_sending_off_70_75,leading_team_sending_off_70_75,trailing_team_sending_off_75_80,leading_team_sending_off_75_80,trailing_team_sending_off_ft,leading_team_sending_off_ft,trailing_team_sending_off_pre80,leading_team_sending_off_pre80,trailing_team_shots_70_75,leading_team_shots_70_75,trailing_team_shots_75_80,leading_team_shots_75_80,trailing_team_shots_ft,leading_team_shots_ft,trailing_team_shots_off_target_70_75,leading_team_shots_off_target_70_75,trailing_team_shots_off_target_75_80,leading_team_shots_off_target_75_80,trailing_team_shots_off_target_ft,leading_team_shots_off_target_ft,trailing_team_shots_off_target_pre80,leading_team_shots_off_target_pre80,trailing_team_shots_on_target_70_75,leading_team_shots_on_target_70_75,trailing_team_shots_on_target_75_80,leading_team_shots_on_target_75_80,trailing_team_shots_on_target_ft,leading_team_shots_on_target_ft,trailing_team_shots_on_target_pre80,leading_team_shots_on_target_pre80,trailing_team_shots_pre80,leading_team_shots_pre80,trailing_team_yellow_cards_70_75,leading_team_yellow_cards_70_75,trailing_team_yellow_cards_75_80,leading_team_yellow_cards_75_80,trailing_team_yellow_cards_ft,leading_team_yellow_cards_ft,trailing_team_yellow_cards_pre80,leading_team_yellow_cards_pre80,odds_ratio,trailing_team_urgency_to_attack,leading_team_urgency_to_attack,trailing_team_momentum_to_attack,leading_team_momentum_to_attack,trailing_team_attack_intensity,leading_team_attack_intensity,trailing_team_defensive_pressure,leading_team_defensive_pressure,trailing_team_shot_to_corner_ratio_pre_80,leading_team_shot_to_corner_ratio_pre_80,trailing_team_aggression_score_pre_80,leading_team_aggression_score_pre_80,trailing_team_probability,target
zkaCOPim/,2016-04-09,2016,SP1,spain,Espanyol,Atletico Madrid,5.9,3.68,1.93,1-2,1-3,a,-1,16,24,4,0,7,1,1,2,0,0,1,8,0,1,0,0,0,10.496,5.982,4.514,1.491,0.831,0.66,1,1.0,home,0.0,0,1,0,1,0,0,4.411,5.499,3,5,3,4,0,2,0,1,13,13,13,11,0.637,0.739,0,0,0,0,0,0,0,0,0,1,0,0,10,14,0,0,0,0,6,9,3,7,0,1,0,0,4,5,2,4,5,11,0,0,0,1,2,2,2,2,3.057,0.169,0.518,0.0,-1.036,0,0,0,-1,1.667,2.75,3.0,1.182,16.949,0
4UK8Ui0i/,2016-04-10,2016,I1,italy,Empoli,Fiorentina,3.88,3.45,2.4,1-0,2-0,h,1,19,32,5,0,5,0,0,4,0,2,0,8,0,0,0,1,0,10.288,5.747,4.54,1.517,0.829,0.688,3,0.0,away,2.0,2,1,0,0,0,0,4.284,4.096,6,2,4,1,1,3,0,0,19,16,17,15,0.605,0.605,0,0,0,0,0,0,0,0,0,0,1,1,22,7,0,0,1,1,17,3,13,2,0,0,0,0,5,4,3,1,16,3,0,0,0,0,4,3,3,2,0.619,0.417,0.258,0.417,0.258,1,1,-1,-3,4.0,3.0,1.25,5.667,41.667,1
82cKM3Ma/,2016-04-10,2016,SP1,spain,Valencia,Sevilla,2.52,3.75,3.38,1-0,2-1,h,1,26,23,2,0,11,0,0,3,0,0,2,13,0,1,0,0,0,10.496,5.982,4.514,1.491,0.831,0.66,2,0.0,away,1.0,1,1,0,0,0,0,5.532,6.157,3,10,2,9,2,1,1,1,14,14,12,11,1.104,1.104,0,0,0,0,0,0,0,0,0,0,0,0,7,23,0,0,0,0,3,15,2,14,0,0,0,0,4,8,3,7,5,21,0,0,0,0,2,2,1,1,1.341,0.296,0.397,0.0,0.0,0,0,-1,0,2.5,2.333,2.6,0.571,29.586,1
GrB02x7E/,2016-04-10,2016,E0,england,Sunderland,Leicester City,3.48,3.48,2.45,0-1,0-2,a,-1,25,17,2,0,7,0,0,0,0,2,2,8,1,0,0,0,0,10.577,5.875,4.702,1.586,0.865,0.721,1,1.0,home,0.0,0,1,0,0,0,0,7.404,5.058,1,7,1,6,0,0,0,2,9,9,9,8,1.169,0.858,0,0,0,0,0,0,0,0,0,0,1,1,15,17,0,0,1,0,14,10,11,10,0,0,0,1,1,7,1,3,12,13,0,0,0,0,1,1,1,1,1.42,0.287,0.408,0.287,0.408,1,1,0,2,12.0,2.167,0.833,0.692,28.736,0
IZFlPdOB/,2016-04-10,2016,I1,italy,Sampdoria,Udinese,2.24,3.35,3.95,1-0,2-0,h,1,21,20,5,0,8,1,2,0,1,0,3,15,0,0,0,1,0,10.288,5.747,4.54,1.517,0.829,0.688,7,0.0,away,7.0,7,0,1,0,1,0,7.034,4.091,12,3,5,3,0,0,2,1,10,13,9,11,1.043,0.393,0,0,0,0,0,0,0,0,2,0,0,0,16,16,2,0,0,0,14,10,8,9,0,0,0,0,2,5,0,3,8,13,0,1,0,0,1,4,1,4,1.763,0.253,0.446,-0.506,0.0,1,0,2,1,1.6,4.333,1.25,1.154,25.316,1
QPCj7OMC/,2016-04-10,2016,SP1,spain,Villarreal,Getafe,1.61,4.59,7.7,1-0,2-0,h,1,23,12,3,0,10,1,1,0,0,0,0,11,0,1,0,0,0,10.496,5.982,4.514,1.491,0.831,0.66,1,0.0,away,0.0,0,1,0,1,0,0,4.736,4.032,5,6,5,5,0,0,0,0,9,7,8,4,0.804,0.479,0,0,0,0,0,0,0,0,1,0,0,0,17,13,1,0,0,0,14,10,12,8,0,0,0,0,3,3,2,1,14,9,0,0,0,0,2,2,2,1,4.783,0.13,0.621,-0.13,-0.621,0,0,0,0,2.8,1.8,0.714,0.556,12.987,0
WM3tUoUP/,2016-04-10,2016,SP1,spain,Athletic Bilbao,Rayo Vallecano,1.61,4.9,6.4,1-0,1-0,h,1,22,15,4,0,4,1,1,0,0,0,0,4,0,1,0,0,0,10.496,5.982,4.514,1.491,0.831,0.66,0,0.0,away,0.0,0,0,1,0,0,0,3.72,5.782,4,0,4,0,0,0,0,0,13,7,10,5,0.416,0.854,0,0,0,0,0,0,0,0,1,0,0,0,11,14,0,0,0,0,7,7,4,7,1,0,0,0,4,7,4,7,8,14,0,0,0,0,3,1,3,1,3.975,0.156,0.621,-0.312,0.0,0,0,0,0,2.0,inf,1.625,0.429,15.625,0
x4t9P5xs/,2016-04-10,2016,SP1,spain,Sporting Gijon,Celta Vigo,2.98,3.5,2.7,0-1,0-1,a,-1,24,14,6,0,10,1,2,0,0,0,2,14,0,1,0,0,0,10.496,5.982,4.514,1.491,0.831,0.66,4,1.0,home,3.0,3,1,0,1,0,0,5.499,5.124,7,7,4,6,0,0,0,2,7,9,7,7,0.552,0.614,0,0,0,0,0,0,0,0,0,2,0,0,10,17,0,2,0,0,8,12,6,12,0,0,0,0,2,5,1,5,7,17,1,0,0,1,2,5,2,4,1.104,0.336,0.37,0.0,-1.11,0,0,0,2,1.75,2.833,1.286,0.647,33.557,1
0vquCuWt/,2016-04-15,2016,F1,france,Lyon,Nice,1.68,4.3,6.32,0-1,1-1,a,-1,11,26,1,1,5,0,0,0,0,1,0,7,0,0,0,0,1,9.48,5.359,4.12,1.393,0.767,0.625,2,1.0,home,2.0,2,0,0,0,0,0,5.315,5.256,4,3,2,3,0,0,0,0,16,19,12,14,0.869,0.986,0,0,0,0,1,0,1,0,0,0,0,1,14,6,0,0,0,1,11,4,6,2,0,0,0,0,3,2,1,2,7,4,0,0,0,0,2,2,1,0,0.266,0.595,0.158,0.0,0.158,0,1,0,0,3.5,1.333,1.857,3.5,59.524,1
4W95VIns/,2016-04-15,2016,SP1,spain,Levante,Espanyol,2.5,3.46,3.38,2-1,2-1,h,1,19,16,4,0,8,0,0,1,0,0,2,10,0,1,0,0,0,10.496,5.982,4.514,1.491,0.831,0.66,2,0.0,away,2.0,2,0,0,0,0,0,4.618,4.677,6,4,4,4,0,1,1,1,10,10,8,8,0.392,0.862,0,0,0,0,0,0,0,0,0,0,0,0,10,12,0,0,0,0,8,8,6,7,0,0,0,0,2,4,2,4,8,11,0,1,0,0,0,5,0,4,1.352,0.296,0.4,0.0,0.0,0,0,1,0,2.0,2.75,1.0,1.091,29.586,1
