id_odsp,date,season,league,country,home_team,away_team,odd_h,odd_d,odd_a,score_pre_80,score_ft,game_state_80,goal_diff_80,home_shots_pre80,away_shots_pre80,home_shots_on_target_pre80,away_shots_on_target_pre80,home_shots_off_target_pre80,away_shots_off_target_pre80,home_yellow_cards_pre80,away_yellow_cards_pre80,home_sending_off_pre80,away_sending_off_pre80,home_fouls_pre80,away_fouls_pre80,home_corners_pre80,away_corners_pre80,total_shots_pre_80,total_fouls_pre_80,total_yellow_cards_pre_80,total_sending_off_pre_80,total_corners_pre_80,total_corners_70_75,total_shots_70_75,total_fouls_70_75,total_corners_75_80,total_shots_75_80,total_fouls_75_80,home_shots_ft,away_shots_ft,home_shots_on_target_ft,away_shots_on_target_ft,home_shots_off_target_ft,away_shots_off_target_ft,home_yellow_cards_ft,away_yellow_cards_ft,home_sending_off_ft,away_sending_off_ft,home_fouls_ft,away_fouls_ft,home_corners_ft,away_corners_ft,total_corners_ft,home_shots_70_75,away_shots_70_75,home_shots_on_target_70_75,away_shots_on_target_70_75,home_shots_off_target_70_75,away_shots_off_target_70_75,home_yellow_cards_70_75,away_yellow_cards_70_75,home_sending_off_70_75,away_sending_off_70_75,home_fouls_70_75,away_fouls_70_75,home_corners_70_75,away_corners_70_75,home_shots_75_80,away_shots_75_80,home_shots_on_target_75_80,away_shots_on_target_75_80,home_shots_off_target_75_80,away_shots_off_target_75_80,home_yellow_cards_75_80,away_yellow_cards_75_80,home_sending_off_75_80,away_sending_off_75_80,home_fouls_75_80,away_fouls_75_80,home_corners_75_80,away_corners_75_80,home_corner_diff,away_corner_diff,league_england,league_spain,league_germany,league_italy,league_france,league_avg_corners,league_avg_home_corners,league_avg_away_corners,league_avg_post80_corners,league_avg_post80_home_corners,league_avg_post80_away_corners,corner_diff,is_home_trailing,trailing_team,trailing_team_corners,home_games,home_corners_for_avg,home_corners_against_avg,home_post80_corners_for_avg,home_post80_corners_against_avg,away_games,away_corners_for_avg,away_corners_against_avg,away_post80_corners_for_avg,away_post80_corners_against_avg,game_state_80_h,game_state_80_a,game_state_80_d,abs_goal_diff_80,close_game_80,goal_diff_squared_80,odds_ratio,shot_to_corner_ratio_pre_80,team_aggression_score_pre_80,home_urgency_to_attack,away_urgency_to_attack,home_momentum_to_attack,away_momentum_to_attack,attack_intensity,defensive_pressure,trailing_team_probability,target
UFot0hit/,2011-08-05,2012,D1,germany,Borussia Dortmund,Hamburg SV,1.56,4.41,7.42,3-1,3-1,h,2,14,8,5,2,9,6,0,3,0,0,10,15,7,6,22,25,3,0,13,1,0,2,1,1,0,16,8,5,2,11,6,1,3,0,0,12,17,7,7,14,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,9.502,5.308,4.194,1.302,0.718,0.585,1,,,,0.0,5.308,4.194,0.718,0.585,0.0,4.194,5.308,0.585,0.718,1,0,0,2,0,4,0.21,1.692,1.273,0.0,0.067,0.0,0.067,0,-2,13.477,1
Aw5DflLH/,2011-08-06,2012,D1,germany,FC Augsburg,SC Freiburg,2.36,3.6,3.4,1-2,2-2,a,-1,9,8,6,3,3,5,2,2,0,0,12,23,4,3,17,35,4,0,7,0,2,4,0,0,1,11,9,7,4,4,5,2,4,0,0,15,25,5,4,9,1,1,1,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,9.502,5.308,4.194,1.302,0.718,0.585,2,1.0,home,1.0,0.0,5.308,4.194,0.718,0.585,0.0,4.194,5.308,0.585,0.718,0,1,0,1,1,1,0.694,2.429,2.294,0.424,0.0,-0.424,-0.0,0,-3,42.373,1
CzPV312a/,2011-08-06,2012,F1,france,Paris Saint-Germain,Lorient,1.55,4.5,9.4,0-1,0-1,a,-1,11,9,2,4,9,5,1,1,0,0,18,5,4,5,20,23,2,0,9,0,1,0,1,2,0,12,9,3,4,9,5,1,3,0,0,20,8,7,6,13,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,1,9.48,5.359,4.12,1.393,0.767,0.625,4,1.0,home,3.0,0.0,5.359,4.12,0.767,0.625,0.0,4.12,5.359,0.625,0.767,0,1,0,1,1,1,0.165,2.222,1.25,0.645,0.0,1.935,-0.0,3,0,64.516,1
GUOdmtII/,2011-08-06,2012,F1,france,Caen,Valenciennes,2.5,3.4,3.45,1-0,1-0,h,1,9,10,3,5,6,5,1,1,0,0,8,9,2,8,19,17,2,0,10,0,0,3,0,0,1,11,12,3,6,8,6,2,1,0,0,10,10,3,11,14,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,1,9.48,5.359,4.12,1.393,0.767,0.625,4,0.0,away,3.0,0.0,5.359,4.12,0.767,0.625,0.0,4.12,5.359,0.625,0.767,1,0,0,1,1,1,0.725,1.9,1.0,0.0,0.29,0.0,0.0,0,-2,28.986,1
M7PhlM2C/,2011-08-06,2012,F1,france,Brest,Evian Thonon Gaillard,2.29,3.25,3.85,2-2,2-2,d,0,23,7,7,2,16,5,1,2,0,0,8,12,8,7,30,20,3,0,15,0,1,1,2,3,0,23,9,7,3,16,6,2,2,0,0,11,12,11,8,19,1,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,1,0,2,0,0,0,0,0,0,0,2,0,3,1,0,0,0,0,1,9.48,5.359,4.12,1.393,0.767,0.625,4,,,,0.0,5.359,4.12,0.767,0.625,0.0,4.12,5.359,0.625,0.767,0,0,1,0,1,0,0.595,2.0,0.767,0.627,0.373,2.508,0.0,0,-1,25.974,1
QuWqjrYa/,2011-08-06,2012,F1,france,AC Ajaccio,Toulouse,2.8,3.1,3.05,0-2,0-2,a,-2,15,12,3,7,12,5,1,1,0,0,11,13,10,4,27,24,2,0,14,0,2,0,0,1,0,18,13,6,8,12,5,4,2,0,0,12,16,11,4,15,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,9.48,5.359,4.12,1.393,0.767,0.625,1,,,,0.0,5.359,4.12,0.767,0.625,0.0,4.12,5.359,0.625,0.767,0,1,0,2,0,4,0.918,1.929,0.963,0.179,0.0,0.0,-0.0,0,0,32.787,1
UBZQ4smg/,2011-08-06,2012,F1,france,Nice,Lyon,4.5,3.55,2.0,1-3,1-3,a,-2,11,19,4,8,7,11,1,1,0,0,13,9,12,6,30,22,2,0,18,1,2,1,1,1,1,12,22,4,9,8,13,2,1,0,0,16,13,12,8,20,0,2,0,2,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,2,0,0,0,0,1,9.48,5.359,4.12,1.393,0.767,0.625,2,,,,0.0,5.359,4.12,0.767,0.625,0.0,4.12,5.359,0.625,0.767,0,1,0,2,0,4,2.25,1.667,0.8,0.111,0.0,0.222,-0.0,0,0,50.0,1
WQGN5NXn/,2011-08-06,2012,F1,france,AS Nancy Lorraine,Lille,3.66,3.5,2.42,1-1,1-1,d,0,6,16,1,6,4,10,2,2,0,0,13,17,6,5,22,30,4,0,11,1,0,1,0,3,1,6,18,1,6,4,12,2,3,1,0,16,19,6,8,14,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,1,2,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,9.48,5.359,4.12,1.393,0.767,0.625,3,,,,0.0,5.359,4.12,0.767,0.625,0.0,4.12,5.359,0.625,0.767,0,0,1,0,1,0,1.512,2.0,1.545,0.398,0.602,0.796,0.0,0,0,41.322,1
Wn69eU5B/,2011-08-06,2012,D1,germany,FC Cologne,VfL Wolfsburg,3.0,3.8,2.54,0-1,0-3,a,-1,7,14,1,6,6,8,2,3,1,0,11,15,7,3,21,26,5,1,10,0,3,3,0,2,2,7,18,1,8,6,10,2,5,1,0,12,18,7,4,11,1,2,0,1,1,1,0,0,0,0,2,1,0,0,2,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,9.502,5.308,4.194,1.302,0.718,0.585,1,1.0,home,0.0,0.0,5.308,4.194,0.718,0.585,0.0,4.194,5.308,0.585,0.718,0,1,0,1,1,1,1.181,2.1,1.476,0.333,0.0,0.333,-0.0,2,-1,33.333,1
bkjpaC6n/,2011-08-06,2012,D1,germany,Werder Bremen,Kaiserslautern,1.83,4.2,4.8,1-0,2-0,h,1,17,6,4,2,13,4,1,2,0,0,10,23,6,4,23,33,3,0,10,2,2,3,2,3,2,19,9,5,3,14,6,1,2,0,0,12,25,6,5,11,1,1,0,0,1,1,1,1,0,0,1,2,1,1,2,1,0,0,2,1,0,0,0,0,1,1,2,0,0,1,0,0,1,0,0,9.502,5.308,4.194,1.302,0.718,0.585,1,0.0,away,1.0,0.0,5.308,4.194,0.718,0.585,0.0,4.194,5.308,0.585,0.718,1,0,0,1,1,1,0.381,2.3,1.565,0.0,0.208,0.0,-0.208,5,-1,20.833,1
