id_odsp,date,season,league,country,home_team,away_team,odd_h,odd_d,odd_a,score_pre_80,score_ft,game_state_80,goal_diff_80,total_shots_pre_80,total_fouls_pre_80,total_yellow_cards_pre_80,total_sending_off_pre_80,total_corners_pre_80,total_corners_70_75,total_shots_70_75,total_fouls_70_75,total_corners_75_80,total_shots_75_80,total_fouls_75_80,total_corners_ft,league_england,league_spain,league_germany,league_italy,league_france,league_avg_corners,league_avg_home_corners,league_avg_away_corners,league_avg_post80_corners,league_avg_post80_home_corners,league_avg_post80_away_corners,corner_diff,is_home_trailing,trailing_team,trailing_team_corners,trailing_team_corner_diff,leading_team_corner_diff,trailing_team_corners_70_75,leading_team_corners_70_75,trailing_team_corners_75_80,leading_team_corners_75_80,leading_team_corners_against_avg,trailing_team_corners_for_avg,trailing_team_corners_ft,leading_team_corners_ft,trailing_team_corners_pre80,leading_team_corners_pre80,trailing_team_fouls_70_75,leading_team_fouls_70_75,trailing_team_fouls_75_80,leading_team_fouls_75_80,trailing_team_fouls_ft,leading_team_fouls_ft,trailing_team_fouls_pre80,leading_team_fouls_pre80,leading_team_post80_corners_against_avg,trailing_team_post80_corners_for_avg,trailing_team_sending_off_70_75,leading_team_sending_off_70_75,trailing_team_sending_off_75_80,leading_team_sending_off_75_80,trailing_team_sending_off_ft,leading_team_sending_off_ft,trailing_team_sending_off_pre80,leading_team_sending_off_pre80,trailing_team_shots_70_75,leading_team_shots_70_75,trailing_team_shots_75_80,leading_team_shots_75_80,trailing_team_shots_ft,leading_team_shots_ft,trailing_team_shots_off_target_70_75,leading_team_shots_off_target_70_75,trailing_team_shots_off_target_75_80,leading_team_shots_off_target_75_80,trailing_team_shots_off_target_ft,leading_team_shots_off_target_ft,trailing_team_shots_off_target_pre80,leading_team_shots_off_target_pre80,trailing_team_shots_on_target_70_75,leading_team_shots_on_target_70_75,trailing_team_shots_on_target_75_80,leading_team_shots_on_target_75_80,trailing_team_shots_on_target_ft,leading_team_shots_on_target_ft,trailing_team_shots_on_target_pre80,leading_team_shots_on_target_pre80,trailing_team_shots_pre80,leading_team_shots_pre80,trailing_team_yellow_cards_70_75,leading_team_yellow_cards_70_75,trailing_team_yellow_cards_75_80,leading_team_yellow_cards_75_80,trailing_team_yellow_cards_ft,leading_team_yellow_cards_ft,trailing_team_yellow_cards_pre80,leading_team_yellow_cards_pre80,odds_ratio,trailing_team_urgency_to_attack,leading_team_urgency_to_attack,trailing_team_momentum_to_attack,leading_team_momentum_to_attack,trailing_team_attack_intensity,leading_team_attack_intensity,trailing_team_defensive_pressure,leading_team_defensive_pressure,trailing_team_shot_to_corner_ratio_pre_80,leading_team_shot_to_corner_ratio_pre_80,trailing_team_aggression_score_pre_80,leading_team_aggression_score_pre_80,trailing_team_probability,target
Aw5DflLH/,2011-08-06,2012,D1,germany,FC Augsburg,SC Freiburg,2.36,3.6,3.4,1-2,2-2,a,-1,17,35,4,0,7,0,2,4,0,0,1,9,0,0,1,0,0,9.502,5.308,4.194,1.302,0.718,0.585,2,1.0,home,1.0,1,1,0,0,0,0,5.308,5.308,5,4,4,3,0,4,1,0,15,25,12,23,0.718,0.718,0,0,0,0,0,0,0,0,1,1,0,0,11,9,0,1,0,0,4,5,3,5,1,0,0,0,7,4,6,3,9,8,0,0,0,0,2,4,2,2,0.694,0.424,0.294,-0.424,-0.294,0,0,1,-4,2.25,2.667,1.556,3.125,42.373,1
CzPV312a/,2011-08-06,2012,F1,france,Paris Saint-Germain,Lorient,1.55,4.5,9.4,0-1,0-1,a,-1,20,23,2,0,9,0,1,0,1,2,0,13,0,0,0,0,1,9.48,5.359,4.12,1.393,0.767,0.625,4,1.0,home,3.0,3,1,0,0,1,0,5.359,5.359,7,6,4,5,0,0,0,0,20,8,18,5,0.767,0.767,0,0,0,0,0,0,0,0,0,1,2,0,12,9,0,1,1,0,9,5,9,5,0,0,1,0,3,4,2,4,11,9,0,0,0,0,1,3,1,1,0.165,0.645,0.106,1.935,-0.106,3,0,0,0,2.75,1.8,1.727,0.667,64.516,1
GUOdmtII/,2011-08-06,2012,F1,france,Caen,Valenciennes,2.5,3.4,3.45,1-0,1-0,h,1,19,17,2,0,10,0,0,3,0,0,1,14,0,0,0,0,1,9.48,5.359,4.12,1.393,0.767,0.625,4,0.0,away,3.0,3,1,0,0,0,0,4.12,4.12,11,3,8,2,1,2,1,0,10,10,9,8,0.625,0.625,0,0,0,0,0,0,0,0,0,0,0,0,12,11,0,0,0,0,6,8,5,6,0,0,0,0,6,3,5,3,10,9,0,0,0,0,1,2,1,1,1.38,0.29,0.4,0.0,0.0,0,0,0,-2,1.25,4.5,1.0,1.0,28.986,1
Wn69eU5B/,2011-08-06,2012,D1,germany,FC Cologne,VfL Wolfsburg,3.0,3.8,2.54,0-1,0-3,a,-1,21,26,5,1,10,0,3,3,0,2,2,11,0,0,1,0,0,9.502,5.308,4.194,1.302,0.718,0.585,1,1.0,home,0.0,0,1,0,0,0,0,5.308,5.308,7,4,7,3,2,1,1,1,12,18,11,15,0.718,0.718,0,0,0,0,1,0,1,0,1,2,2,0,7,18,1,1,1,0,6,10,6,8,0,1,1,0,1,8,1,6,7,14,0,0,0,1,2,5,2,3,1.181,0.333,0.394,0.333,-0.788,2,0,-1,0,1.0,4.667,1.857,1.286,33.333,0
bkjpaC6n/,2011-08-06,2012,D1,germany,Werder Bremen,Kaiserslautern,1.83,4.2,4.8,1-0,2-0,h,1,23,33,3,0,10,2,2,3,2,3,2,11,0,0,1,0,0,9.502,5.308,4.194,1.302,0.718,0.585,1,0.0,away,1.0,1,0,1,1,0,2,4.194,4.194,5,6,4,6,2,1,1,1,25,12,23,10,0.585,0.585,0,0,0,0,0,0,0,0,1,1,1,2,9,19,1,1,1,2,6,14,4,13,0,0,0,0,3,5,2,4,6,17,1,1,0,0,2,1,2,1,2.623,0.208,0.546,-0.208,1.092,1,4,-1,0,1.5,2.833,4.167,0.647,20.833,1
lOpzwMkp/,2011-08-06,2012,D1,germany,Hertha Berlin,Nurnberg,2.06,3.75,3.95,0-1,0-1,a,-1,15,40,4,0,4,0,0,0,0,1,1,5,0,0,1,0,0,9.502,5.308,4.194,1.302,0.718,0.585,1,1.0,home,1.0,1,0,0,0,0,0,5.308,5.308,2,3,1,3,0,0,1,0,23,25,19,21,0.718,0.718,0,0,0,0,0,0,0,0,0,0,0,1,4,13,0,0,0,1,4,6,2,6,0,0,0,0,0,7,0,7,2,13,0,0,0,0,2,3,2,2,0.522,0.485,0.253,0.0,0.253,0,1,1,0,2.0,4.333,10.5,1.769,48.544,1
x4HJ63It/,2011-08-06,2012,F1,france,Montpellier,AJ Auxerre,2.12,3.3,4.44,2-1,3-1,h,1,26,30,1,0,9,0,1,4,0,0,1,9,0,0,0,0,1,9.48,5.359,4.12,1.393,0.767,0.625,0,0.0,away,0.0,0,0,0,0,0,0,4.12,4.12,5,4,5,4,2,2,0,1,21,16,17,13,0.625,0.625,0,0,0,0,0,0,0,0,0,1,0,0,18,13,0,1,0,0,10,9,9,7,0,0,0,0,8,4,7,3,16,10,0,0,0,0,1,0,1,0,2.094,0.225,0.472,0.0,-0.472,0,0,-2,-1,3.2,2.5,1.125,1.3,22.523,0
xtklbWLh/,2011-08-06,2012,D1,germany,Hannover 96,TSG Hoffenheim,2.43,3.75,3.4,2-1,2-1,h,1,17,22,4,0,7,0,0,0,0,2,2,9,0,0,1,0,0,9.502,5.308,4.194,1.302,0.718,0.585,2,0.0,away,1.0,1,1,0,0,0,0,4.194,4.194,5,4,4,3,0,0,2,0,17,10,14,8,0.585,0.585,0,0,0,0,0,0,0,0,0,0,2,0,12,7,0,0,1,0,7,3,7,3,0,0,1,0,5,4,4,3,11,6,0,0,0,0,2,2,2,2,1.399,0.294,0.412,0.588,0.0,2,0,2,0,2.75,2.0,1.455,1.667,29.412,1
84Llk2m6/,2011-08-07,2012,F1,france,Bordeaux,St Etienne,1.82,3.65,5.5,1-2,1-2,a,-1,22,24,4,0,7,2,2,2,1,0,1,7,0,0,0,0,1,9.48,5.359,4.12,1.393,0.767,0.625,0,1.0,home,0.0,0,0,0,2,0,1,5.359,5.359,3,4,3,4,1,1,1,0,13,18,8,16,0.767,0.767,0,0,0,0,0,0,0,0,0,2,0,0,12,13,0,1,0,0,7,10,5,10,0,1,0,0,5,2,4,2,9,13,0,0,0,0,1,4,1,3,0.331,0.549,0.182,0.0,-0.546,0,1,0,-1,3.0,3.25,1.0,1.462,54.945,0
K4vgcjya/,2011-08-07,2012,D1,germany,Mainz,Bayer Leverkusen,3.45,3.4,2.5,1-0,2-0,h,1,28,32,4,0,7,0,1,2,1,1,1,9,0,0,1,0,0,9.502,5.308,4.194,1.302,0.718,0.585,2,0.0,away,0.0,0,2,0,0,0,1,4.194,4.194,2,7,2,5,1,1,1,0,17,18,16,16,0.585,0.585,0,0,0,0,0,0,0,0,0,1,1,0,9,23,0,0,1,0,7,14,7,13,0,1,0,0,2,8,2,6,9,19,0,1,0,0,2,3,1,3,0.725,0.4,0.29,0.4,0.0,1,1,0,-1,4.5,3.8,1.889,1.0,40.0,0
