id_odsp,date,season,league,country,home_team,away_team,odd_h,odd_d,odd_a,score_pre_80,score_ft,game_state_80,goal_diff_80,home_shots_pre80,away_shots_pre80,home_fouls_pre80,away_fouls_pre80,home_corners_pre80,away_corners_pre80,home_yellow_cards_pre80,away_yellow_cards_pre80,home_sending_off_pre80,away_sending_off_pre80,home_corners_70_75,away_corners_70_75,home_shots_70_75,away_shots_70_75,home_fouls_70_75,away_fouls_70_75,home_corners_75_80,away_corners_75_80,home_shots_75_80,away_shots_75_80,home_fouls_75_80,away_fouls_75_80,odd_h,odd_d,odd_a,total_shots_pre_80,total_fouls_pre_80,total_yellow_cards_pre_80,total_sending_off_pre_80,total_corners_pre_80,total_corners_70_75,total_shots_70_75,total_fouls_70_75,total_corners_75_80,total_shots_75_80,total_fouls_75_80,odds_ratio,shot_to_corner_ratio_pre_80,home_urgency_to_attack,away_urgency_to_attack,home_momentum_to_attack,away_momentum_to_attack,attack_intensity,defensive_pressure,home_corner_diff,away_corner_diff,corner_diff,target
UFot0hit/,2011-08-05,2012,D1,germany,Borussia Dortmund,Hamburg SV,1.56,4.41,7.42,3-1,3-1,h,2,14,8,10,15,7,6,0,3,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1.56,4.41,7.42,22,25,3,0,13,1,0,2,1,1,0,0.21,1.692,0.0,0.067,0.0,0.067,0,-2,0,1,1,1
Aw5DflLH/,2011-08-06,2012,D1,germany,FC Augsburg,SC Freiburg,2.36,3.6,3.4,1-2,2-2,a,-1,9,8,12,23,4,3,2,2,0,0,0,0,1,1,0,4,0,0,0,0,1,0,2.36,3.6,3.4,17,35,4,0,7,0,2,4,0,0,1,0.694,2.429,0.424,0.0,-0.424,-0.0,0,-3,1,1,2,1
CzPV312a/,2011-08-06,2012,F1,france,Paris Saint-Germain,Lorient,1.55,4.5,9.4,0-1,0-1,a,-1,11,9,18,5,4,5,1,1,0,0,0,0,0,1,0,0,1,0,2,0,0,0,1.55,4.5,9.4,20,23,2,0,9,0,1,0,1,2,0,0.165,2.222,0.645,0.0,1.935,-0.0,3,0,3,1,4,1
GUOdmtII/,2011-08-06,2012,F1,france,Caen,Valenciennes,2.5,3.4,3.45,1-0,1-0,h,1,9,10,8,9,2,8,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,1,2.5,3.4,3.45,19,17,2,0,10,0,0,3,0,0,1,0.725,1.9,0.0,0.29,0.0,0.0,0,-2,1,3,4,1
M7PhlM2C/,2011-08-06,2012,F1,france,Brest,Evian Thonon Gaillard,2.29,3.25,3.85,2-2,2-2,d,0,23,7,8,12,8,7,1,2,0,0,0,0,1,0,0,1,2,0,3,0,0,0,2.29,3.25,3.85,30,20,3,0,15,0,1,1,2,3,0,0.595,2.0,0.627,0.373,2.508,0.0,0,-1,3,1,4,1
QuWqjrYa/,2011-08-06,2012,F1,france,AC Ajaccio,Toulouse,2.8,3.1,3.05,0-2,0-2,a,-2,15,12,11,13,10,4,1,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2.8,3.1,3.05,27,24,2,0,14,0,2,0,0,1,0,0.918,1.929,0.179,0.0,0.0,-0.0,0,0,1,0,1,1
UBZQ4smg/,2011-08-06,2012,F1,france,Nice,Lyon,4.5,3.55,2.0,1-3,1-3,a,-2,11,19,13,9,12,6,1,1,0,0,0,1,0,2,1,0,1,0,1,0,1,0,4.5,3.55,2.0,30,22,2,0,18,1,2,1,1,1,1,2.25,1.667,0.111,0.0,0.222,-0.0,0,0,0,2,2,1
WQGN5NXn/,2011-08-06,2012,F1,france,AS Nancy Lorraine,Lille,3.66,3.5,2.42,1-1,1-1,d,0,6,16,13,17,6,5,2,2,0,0,0,1,0,0,0,1,0,0,2,1,0,1,3.66,3.5,2.42,22,30,4,0,11,1,0,1,0,3,1,1.512,2.0,0.398,0.602,0.796,0.0,0,0,0,3,3,1
Wn69eU5B/,2011-08-06,2012,D1,germany,FC Cologne,VfL Wolfsburg,3.0,3.8,2.54,0-1,0-3,a,-1,7,14,11,15,7,3,2,3,1,0,0,0,1,2,2,1,0,0,2,0,1,1,3.0,3.8,2.54,21,26,5,1,10,0,3,3,0,2,2,1.181,2.1,0.333,0.0,0.333,-0.0,2,-1,0,1,1,1
bkjpaC6n/,2011-08-06,2012,D1,germany,Werder Bremen,Kaiserslautern,1.83,4.2,4.8,1-0,2-0,h,1,17,6,10,23,6,4,1,2,0,0,1,1,1,1,1,2,2,0,2,1,1,1,1.83,4.2,4.8,23,33,3,0,10,2,2,3,2,3,2,0.381,2.3,0.0,0.208,0.0,-0.208,5,-1,0,1,1,1
lOpzwMkp/,2011-08-06,2012,D1,germany,Hertha Berlin,Nurnberg,2.06,3.75,3.95,0-1,0-1,a,-1,2,13,19,21,1,3,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2.06,3.75,3.95,15,40,4,0,4,0,0,0,0,1,1,0.522,3.75,0.485,0.0,0.0,0.0,1,1,1,0,1,1
x4HJ63It/,2011-08-06,2012,F1,france,Montpellier,AJ Auxerre,2.12,3.3,4.44,2-1,3-1,h,1,10,16,13,17,4,5,0,1,0,0,0,0,1,0,2,2,0,0,0,0,1,0,2.12,3.3,4.44,26,30,1,0,9,0,1,4,0,0,1,0.477,2.889,0.0,0.225,-0.0,0.0,0,-3,0,0,0,0
xQ65dAj5/,2011-08-06,2012,D1,germany,VfB Stuttgart,Schalke 04,2.31,3.8,3.27,2-0,3-0,h,2,10,13,11,14,2,5,1,1,0,0,0,0,0,1,0,0,0,1,0,3,1,1,2.31,3.8,3.27,23,25,2,0,7,0,1,0,1,3,2,0.706,3.286,0.0,0.153,0.0,0.459,0,2,0,1,1,1
xtklbWLh/,2011-08-06,2012,D1,germany,Hannover 96,TSG Hoffenheim,2.43,3.75,3.4,2-1,2-1,h,1,6,11,8,14,3,4,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2.43,3.75,3.4,17,22,4,0,7,0,0,0,0,2,2,0.715,2.429,0.0,0.294,0.0,0.588,2,2,1,1,2,1
zeViBqAP/,2011-08-06,2012,F1,france,Marseille,Sochaux,1.5,4.4,9.0,2-2,2-2,d,0,24,8,13,7,4,4,1,2,0,0,1,0,2,0,1,0,0,0,1,0,1,0,1.5,4.4,9.0,32,20,3,0,8,1,2,1,0,1,1,0.167,4.0,0.857,0.143,-1.714,0.0,0,0,0,1,1,1
84Llk2m6/,2011-08-07,2012,F1,france,Bordeaux,St Etienne,1.82,3.65,5.5,1-2,1-2,a,-1,9,13,8,16,3,4,1,3,0,0,0,2,0,2,1,1,0,1,0,0,1,0,1.82,3.65,5.5,22,24,4,0,7,2,2,2,1,0,1,0.331,3.143,0.549,0.0,0.0,-0.0,1,-1,0,0,0,0
K4vgcjya/,2011-08-07,2012,D1,germany,Mainz,Bayer Leverkusen,3.45,3.4,2.5,1-0,2-0,h,1,19,9,16,16,5,2,3,1,0,0,0,0,1,0,1,1,1,0,0,1,0,1,3.45,3.4,2.5,28,32,4,0,7,0,1,2,1,1,1,1.38,4.0,0.0,0.4,0.0,0.4,2,-1,2,0,2,1
SEqvxt5j/,2011-08-07,2012,D1,germany,Bayern Munich,Borussia Monchengladbach,1.24,7.4,15.0,0-1,0-1,a,-1,15,7,9,8,9,2,0,1,0,0,0,0,2,1,0,1,0,0,2,0,0,1,1.24,7.4,15.0,22,17,1,0,11,0,3,1,0,2,1,0.083,2.0,0.806,0.0,0.0,-0.0,2,0,2,0,2,1
fLN0n0XO/,2011-08-07,2012,F1,france,Dijon FCO,Stade Rennes,3.35,3.27,2.5,1-4,1-5,a,-3,14,15,14,11,6,3,3,1,0,0,0,0,0,0,2,0,0,1,0,1,0,0,3.35,3.27,2.5,29,25,4,0,9,0,0,2,1,1,0,1.34,3.222,0.0,0.0,0.0,0.0,0,-2,3,0,3,1
Ea52eLBS/,2011-08-13,2012,D1,germany,TSG Hoffenheim,Borussia Dortmund,4.9,3.8,1.88,1-0,1-0,h,1,11,11,10,10,5,5,2,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,4.9,3.8,1.88,22,20,3,0,10,1,0,2,0,0,1,2.606,2.2,0.0,0.532,-0.0,0.0,0,-1,0,1,1,1
