kaggle_id,totalCorner_id
UilpC17U/,59147579
8foCpEN9/,59147545
d6tA5lm2/,59146943
S41oaDx3/,59147549
lE2s0gNd/,59147552
xzZOsC7S/,59147554
fis8of83/,59147556
hjDXGPqp/,59146991
6okKC3za/,59147052
8IJfW4hn/,59147583
6yO0SBfF/,59146945
tCgSx763/,59146993
dCueCZOI/,59147061
URKjXpwt/,59147587
zBEayApd/,59147560
j1ktDshO/,59147590
zF2xGqaj/,59146995
UilpC17U/,59147579
8foCpEN9/,59147545
d6tA5lm2/,59146943
S41oaDx3/,59147549
lE2s0gNd/,59147552
xzZOsC7S/,59147554
fis8of83/,59147556
hjDXGPqp/,59146991
6okKC3za/,59147052
8IJfW4hn/,59147583
6yO0SBfF/,59146945
tCgSx763/,59146993
dCueCZOI/,59147061
URKjXpwt/,59147587
zBEayApd/,59147560
j1ktDshO/,59147590
zF2xGqaj/,59146995
M7AexjVk/,59147562
reEJQ0MN/,59147592
UFKRxEVl/,59146947
U9ZKrhhM/,59147565
vamSAs5B/,59330783
8bcsttMA/,59331362
tnOWZ4jM/,59331594
4QjjvKjN/,59331364
buEcQM4b/,59330817
Cluu8ukU/,59330791
h2D1PtK4/,59330799
OMLpTOKu/,59330807
jZjW91KH/,59330815
dKLrKm2e/,59330606
4pPjIRW7/,59330608
CfEFMtOg/,59330610
QcIJL0w0/,59330613
EybwsM64/,59331366
nm7FRtb2/,59331596
xj5QGx45/,59331275
6k3ZtB98/,59330616
fZsxqrxh/,59331368
2DKlSrzn/,59330819
nPOSzoyG/,59331598
fkSzZO5S/,59331600
vN37T2Tk/,59331602
8d8BSMrd/,59331604
jLXezZ12/,59331606
On1MHIla/,59331277
QJ3OPKyU/,59331370
zoaZs2ib/,59331372
2XCDJvKn/,59331279
jsLnJ7H1/,59330619
A33YEGYH/,59331282
riYnYwZu/,59331285
SvbwEzlO/,59331288
WC4UFdJB/,59331290
dIz4YCWE/,59331608
pt2wtVOE/,59330621
UVOANM8m/,59330623
Ycty9LZN/,59330821
S0wVyYpe/,59330626
GrqYqOMo/,59331374
rHkfwv6T/,59331376
2ey0ZhH8/,59331613
