pipeline_id,timestamp,model_name,selected_features,constructed_features,is_calibration_applied,precision_val,recall_val,f1_score_val,accuracy_val,precision_test,recall_test,f1_score_test,accuracy_test,total_profit,bets_placed,win_rate,roi,sharpe_ratio,edge_over_bookies
a9ca0c0f,2025-04-29 19:56,random_forest,"goal_diff_80, home_shots_pre80, away_shots_pre80, home_fouls_pre80, away_fouls_pre80, home_corners_pre80, away_corners_pre80, home_yellow_cards_pre80, away_yellow_cards_pre80, home_sending_off_pre80, away_sending_off_pre80, home_corners_70_75, away_corners_70_75, home_shots_70_75, away_shots_70_75, home_corners_75_80, away_corners_75_80, home_shots_75_80, away_shots_75_80",,False,0.822,0.156,0.262,0.333,0.734,0.123,0.211,0.296,-410.56,62,74.19,-41.06,-0.12,-5.58
a9ca0c0f,2025-04-29 19:56,logistic_regression,"goal_diff_80, home_shots_pre80, away_shots_pre80, home_fouls_pre80, away_fouls_pre80, home_corners_pre80, away_corners_pre80, home_yellow_cards_pre80, away_yellow_cards_pre80, home_sending_off_pre80, away_sending_off_pre80, home_corners_70_75, away_corners_70_75, home_shots_70_75, away_shots_70_75, home_corners_75_80, away_corners_75_80, home_shots_75_80, away_shots_75_80",,False,0.821,0.088,0.159,0.293,0.688,0.058,0.106,0.26,-401.57,31,67.74,-40.16,-0.24,-12.03
a9ca0c0f,2025-04-29 19:56,svc,"goal_diff_80, home_shots_pre80, away_shots_pre80, home_fouls_pre80, away_fouls_pre80, home_corners_pre80, away_corners_pre80, home_yellow_cards_pre80, away_yellow_cards_pre80, home_sending_off_pre80, away_sending_off_pre80, home_corners_70_75, away_corners_70_75, home_shots_70_75, away_shots_70_75, home_corners_75_80, away_corners_75_80, home_shots_75_80, away_shots_75_80",,False,0.78,0.44,0.562,0.48,0.769,0.427,0.549,0.464,-696.56,204,76.47,-69.66,-0.08,-3.3
a9ca0c0f,2025-04-29 19:56,xgboost,"goal_diff_80, home_shots_pre80, away_shots_pre80, home_fouls_pre80, away_fouls_pre80, home_corners_pre80, away_corners_pre80, home_yellow_cards_pre80, away_yellow_cards_pre80, home_sending_off_pre80, away_sending_off_pre80, home_corners_70_75, away_corners_70_75, home_shots_70_75, away_shots_70_75, home_corners_75_80, away_corners_75_80, home_shots_75_80, away_shots_75_80",,False,0.811,0.076,0.139,0.285,0.759,0.058,0.107,0.266,-181.89,29,75.86,-18.19,-0.1,-3.91
f5bf3b2d,2025-04-29 20:24,random_forest,"goal_diff_80, home_corners_70_75, away_corners_70_75, home_shots_70_75, away_shots_70_75, home_corners_75_80, away_corners_75_80, home_shots_75_80, away_shots_75_80, odd_h, odd_d, odd_a","game_state_80_h, game_state_80_a, game_state_80_d, league_england, league_spain, league_germany, league_italy, league_france, league_avg_corners, league_avg_home_corners, league_avg_away_corners, abs_goal_diff_80, close_game_80, goal_diff_squared_80",False,0.796,0.17,0.281,0.336,0.747,0.162,0.267,0.318,-460.65,80,75.0,-46.07,-0.11,-4.78
f5bf3b2d,2025-04-29 20:24,logistic_regression,"goal_diff_80, home_corners_70_75, away_corners_70_75, home_shots_70_75, away_shots_70_75, home_corners_75_80, away_corners_75_80, home_shots_75_80, away_shots_75_80, odd_h, odd_d, odd_a","game_state_80_h, game_state_80_a, game_state_80_d, league_england, league_spain, league_germany, league_italy, league_france, league_avg_corners, league_avg_home_corners, league_avg_away_corners, abs_goal_diff_80, close_game_80, goal_diff_squared_80",False,0.822,0.117,0.204,0.31,0.806,0.152,0.256,0.324,-91.81,71,80.28,-9.18,-0.0,0.51
f5bf3b2d,2025-04-29 20:24,svc,"goal_diff_80, home_corners_70_75, away_corners_70_75, home_shots_70_75, away_shots_70_75, home_corners_75_80, away_corners_75_80, home_shots_75_80, away_shots_75_80, odd_h, odd_d, odd_a","game_state_80_h, game_state_80_a, game_state_80_d, league_england, league_spain, league_germany, league_italy, league_france, league_avg_corners, league_avg_home_corners, league_avg_away_corners, abs_goal_diff_80, close_game_80, goal_diff_squared_80",False,0.805,0.26,0.393,0.39,0.778,0.257,0.386,0.376,-407.55,122,77.87,-40.76,-0.06,-1.91
f5bf3b2d,2025-04-29 20:24,xgboost,"goal_diff_80, home_corners_70_75, away_corners_70_75, home_shots_70_75, away_shots_70_75, home_corners_75_80, away_corners_75_80, home_shots_75_80, away_shots_75_80, odd_h, odd_d, odd_a","game_state_80_h, game_state_80_a, game_state_80_d, league_england, league_spain, league_germany, league_italy, league_france, league_avg_corners, league_avg_home_corners, league_avg_away_corners, abs_goal_diff_80, close_game_80, goal_diff_squared_80",False,0.813,0.127,0.219,0.314,0.795,0.152,0.255,0.322,-71.01,72,80.56,-7.1,0.01,0.78
73b5bde6,2025-04-29 20:23,random_forest,"goal_diff_80, home_shots_pre80, away_shots_pre80, home_fouls_pre80, away_fouls_pre80, home_corners_pre80, away_corners_pre80, home_yellow_cards_pre80, away_yellow_cards_pre80, home_sending_off_pre80, away_sending_off_pre80, home_corners_70_75, away_corners_70_75, home_shots_70_75, away_shots_70_75, home_corners_75_80, away_corners_75_80, home_shots_75_80, away_shots_75_80, odd_h, odd_d, odd_a","home_corners_for_avg, home_corners_against_avg, away_corners_for_avg, away_corners_against_avg, home_post80_corners_for_avg, home_post80_corners_against_avg, away_post80_corners_for_avg, away_post80_corners_against_avg",False,0.823,0.104,0.184,0.302,0.773,0.089,0.16,0.284,-133.02,42,78.57,-13.3,-0.04,-1.2
73b5bde6,2025-04-29 20:23,logistic_regression,"goal_diff_80, home_shots_pre80, away_shots_pre80, home_fouls_pre80, away_fouls_pre80, home_corners_pre80, away_corners_pre80, home_yellow_cards_pre80, away_yellow_cards_pre80, home_sending_off_pre80, away_sending_off_pre80, home_corners_70_75, away_corners_70_75, home_shots_70_75, away_shots_70_75, home_corners_75_80, away_corners_75_80, home_shots_75_80, away_shots_75_80, odd_h, odd_d, odd_a","home_corners_for_avg, home_corners_against_avg, away_corners_for_avg, away_corners_against_avg, home_post80_corners_for_avg, home_post80_corners_against_avg, away_post80_corners_for_avg, away_post80_corners_against_avg",False,0.822,0.163,0.272,0.337,0.838,0.175,0.29,0.344,247.32,78,83.33,24.73,0.08,3.56
